Sentence,Label
We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,appeal to fear
"We need a strong, credible, effective nuclear deterrent.",appeal to fear
an enormous burden,appeal to fear
"Americans are angry, they're upset, and they're a little fearful.",appeal to anger
"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.",appeal to fear
"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",appeal to fear
"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",appeal to anger
Till you change it you're gonna be unhappy.,appeal to fear
a sorry little post office that can't do anything right,appeal to ridicule
"And so I favor, strongly favor, term limits.",appeal to positive emotion
"I don't think there are any villains, but, boy, is the system rotten.",appeal to worse problems
a sorry little post office,appeal to ridicule
"I don't think there are any villains, but, boy, is the system rotten",appeal to ridicule
an unequaled record in the history of our country,appeal to ridicule
literally thousands of unnecessary regulations that invade every facet of business,appeal to anger
"It would have destroyed the economy of California, and, I must say, we had the support of Congress when we pointed out how ridiculous this attempt was by the Environmental Protection Agency.",appeal to fear
America needs a new direction.,appeal to worse problems
I think we all know America is going through tough times right now.,appeal to fear
the worst economic crisis,appeal to worse problems
the extraordinary honor,appeal to positive emotion
pork barrel,appeal to ridicule
a catastrophic plan,appeal to fear
be pandering,appeal to ridicule
lopsided,appeal to ridicule
swamping,appeal to worse problems
the deep discouragement of the American people,appeal to fear
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",appeal to fear
They're going from tyranny to elections.,appeal to worse problems
Join me in the wrong war at the wrong time at the wrong place.,appeal to fear
"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",appeal to positive emotion
Our education is not up to the standards that the American family and the American people want for their children.,appeal to fear
One of the uh - most embarrassing uh - failures,appeal to ridicule
"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",appeal to anger
"I mean, she was very, very angry when upheld .",appeal to anger
"But Hillary was extremely upset, extremely angry .",appeal to anger
"We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment .",appeal to fear
The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,appeal to fear
"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",appeal to positive emotion
always and only a last resort,appeal to worse problems
"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",appeal to fear
marriage penalty,appeal to fear
they know that people's lives and health are being risked,appeal to fear
insensitive,appeal to ridicule
It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.,appeal to fear
the little stinky numbers,appeal to ridicule
"This election is about the future of our country, not about personal attacks against one candidate or another.",appeal to worse problems
The US is in deep trouble.,appeal to fear
I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure.,appeal to anger
to fish in troubled waters,appeal to worse problems
"I think it -- that we have a safer nation, but we are a long way from safe.",appeal to fear
We are less respected now than we were eight years ago or even four years ago.,appeal to worse problems
"In the meantime, bin Laden is still out there. He is not captured. He is not killed.",appeal to fear
"And as for singling people out because of race, you know, James Byrd was singled out because of his race in Texas.",appeal to worse problems
"And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated. I mean every child.",appeal to positive emotion
There is nothing more prejudiced than not educating a child.,appeal to worse problems
a catastrophic mistake,appeal to fear
"beyond pitiful, beyond embarrassing, in the zone of dangerous",appeal to ridicule
a slush fund,appeal to ridicule
"I regret to say that the president who called himself a uniter, not a divider, is now presiding over the most divided America in the recent memory of our country.",appeal to worse problems
I've never seen such ideological squabbles in the Congress of the United States. I've never seen members of a party locked out of meetings the way they're locked out today.,appeal to worse problems
My biggest disappointment in Washington is how partisan the town is.,appeal to worse problems
an aggressive brown field program,appeal to fear
We might have no other choice. We'll have to see if that happens.,appeal to fear
pretty well decimated,appeal to ridicule
a good job of stripping out the capacity,appeal to ridicule
"We are supporting them in their efforts and will continue to support them until the Iraqi people rise up and do what the people of Serbia have done in the last few days, get rid of a despot. We'll welcome you back into the family of nations where you belong.",appeal to fear
I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death.,appeal to fear
"That's not wishy-washy, and that's what I'm fighting for, you.",appeal to ridicule
a grave threat,appeal to fear
That's absurd.,appeal to ridicule
Communism is the enemy of all religions; and we who do believe in God must join together.,appeal to fear
The worst thing that I can think can happen in this campaign,appeal to worse problems
"I obviously repudiate the Klan; I repudiate anybody who uses the religious issue; I will not tolerate it, I have ordered all of my people to have nothing to do with it and I say - say to this great audience, whoever may be listening, remember, if you believe in America, if you want America to set the right example to the world, that we cannot have religious or racial prejudice.",appeal to positive emotion
"These kinds of approaches are very dangerous to the security, the well being and the peace of mind of the retired people of this country and those approaching retirement age.",appeal to fear
disgraceful,appeal to ridicule
the deleterious comments,appeal to ridicule
the plague of gun violence,appeal to fear
Tremendous beyond belief.,appeal to positive emotion
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",appeal to anger
"And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland.",appeal to fear
"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",appeal to worse problems
complete uh - economic chaos,appeal to fear
those terrible things,appeal to fear
"Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom.",appeal to fear
the battle for freedom,appeal to positive emotion
The United States cannot continue to carry the major share of this burden by itself.,appeal to worse problems
There will be a job-sucking sound going south.,appeal to fear
So this is a serious threat.,appeal to fear
This is dangerous. It isn't just naive; it's dangerous.,appeal to fear
most repressive and brutal regime probably on Earth,appeal to worse problems
the catastrophic cases,appeal to fear
the frivolous lawsuits,appeal to ridicule
"In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then-Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.",appeal to fear
We're going to have to-the MX. We're going to have to do that. It's Christmas.,appeal to fear
such foolish things,appeal to ridicule
some horrible things,appeal to worse problems
"a terrorist state,",appeal to fear
the number one terror state,appeal to fear
We’re going to have a strong border. We’re going to bring back law and order.,appeal to fear
"Just today, policemen was shot, two killed. And this is happening on a weekly basis.",appeal to fear
"we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.",appeal to fear
horrible sights all over,appeal to fear
this is like medieval times,appeal to worse problems
"We haven’t seen anything like this, the carnage all over the world.And they look and they see.",appeal to fear
I will knock the hell out of ISIS.,appeal to anger
We’re going to defeat ISIS.,appeal to fear
And I will tell you that I’m going to make our country safe.,appeal to fear
"That’s why—to go back to your question—I want to send a message—we all should—to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.These",appeal to positive emotion
"a disaster education-wise, job-wise, safety-wise, in every way possible",appeal to worse problems
"religion.He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words.",appeal to anger
you acid washed,appeal to ridicule
you acid wash them or bleach them,appeal to ridicule
"And it’s a disgrace. And honestly, you ought to be ashamed of yourself.",appeal to ridicule
"Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.",appeal to fear
just awfully good,appeal to positive emotion
Because you’d be in jail.,appeal to fear
"But for you to say that there was nothing wrong with you deleting 39,000 e-mails, again, you should be ashamed of yourself.",appeal to ridicule
"And, as a result, America is now bearing this extraordinary burden where we are not as safe as we ought to be.",appeal to fear
voodoo economics,appeal to ridicule
villain,appeal to ridicule
disgrace,appeal to ridicule
"He changes positions on something as fundamental as what you believe in your core, in your heart of hearts, is right in Iraq.",appeal to fear
I have no intention of wilting. I've never wilted in my life. And I've never wavered in my life.,appeal to ridicule
"Again, I can't tell you how big a mistake I think that is, to have bilateral talks with North Korea.",appeal to fear
I resent that comment.,appeal to anger
"They are historic, they are strong, and they are enduring.",appeal to positive emotion
I want everybody to know should I be the president Israel's going to be our friend.,appeal to fear
We don't know whether he's developing weapons of mass destruction.,appeal to fear
He is a danger.,appeal to fear
"The use of diplomacy in this situation has already, well, it goes hour-by-hour and day-by-day now. It's a very tense situation there.",appeal to fear
I want everybody to know should I be the president Israel's going to be our friend. I'm going to stand by Israel.,appeal to fear
We don't know whether he's developing weapons of mass destruction,appeal to fear
fishing in troubled waters,appeal to worse problems
This is the history of dealing with dictators.,appeal to worse problems
Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,appeal to fear
I will not do anything to affect the rights of hunters or sportsmen.,appeal to fear
"Look, this is the year -- this is in the aftermath of Columbine, and Paducah, and all the places in our country where the nation has been shocked by these weapons in the hands of the wrong people.",appeal to fear
a flood of cheap handguns,appeal to fear
I know I'm ready for it. I think the American people are too.,appeal to fear
"The position of the United States has been that this build-up, in the words of the president, has been foolish.",appeal to ridicule
foolish,appeal to ridicule
"the serious, serious threat",appeal to fear
needs.Our country's in deep trouble.,appeal to fear
I want us to invest in your future.,appeal to positive emotion
a beautiful thing to watch.Companies,appeal to positive emotion
disaster,appeal to fear
the most dangers- dangerously irresponsible recommendations,appeal to fear
cynicism,appeal to ridicule
a brazen fashion,appeal to ridicule
those safe havens,appeal to fear
"First of all, I won't repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region.",appeal to worse problems
enormous problems,appeal to worse problems
a calamitous effect,appeal to fear
"And until we do, Americans here at home are not going to be safe.",appeal to fear
nitpicking,appeal to ridicule
We've graduated 15 million kids from high school in the last few years who can't read at a significant level. They are permanently sentenced to a lifetime of failure.,appeal to fear
crumbling classrooms,appeal to fear
a tremendous life-saving change,appeal to positive emotion
the very disturbing comment,appeal to fear
This ultimate terrorist threat is the most fearsome of all,appeal to fear
a kind of a hypocritical policy,appeal to ridicule
there will be no negotiation with terrorists of any kind,appeal to fear
It’s a disgrace.,appeal to anger
It’s an absolute disgrace.,appeal to anger
an aggressive effort,appeal to anger
"And that's hopeful, and that's positive.",appeal to positive emotion
"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.",appeal to worse problems
a disastrous situation,appeal to worse problems
fuzzy math,appeal to ridicule
phony,appeal to ridicule
the marriage penalty,appeal to fear
disparaging,appeal to ridicule
They've cut it off. They've stopped it. They don't enforce these kinds of things.,appeal to fear
I will fight tooth and nail to pass the minimum wage.,appeal to anger
"You see, we'll never be able to compete in the 21st century unless we have an education system that doesn't quit on children, an education system that raises standards, an education that makes sure there's excellence in every classroom.",appeal to fear
"I don't know how you can govern in this country when you look at New York City and you see that 50 percent of the black males there are unemployed, when you see 40 percent of Hispanic children -- of black children in some cities -- dropping out of high school.",appeal to fear
"And secondly, only a liberal senator from Massachusetts would say that a 49 percent increase in funding for education was not enough.",appeal to ridicule
And I could just not be more opposed to that kind of thinking .,appeal to worse problems
"Well, I think it's terrible .",appeal to ridicule
And that's not acceptable .,appeal to anger
And using that kind of scare rhetoric is just terribly unfortunate .,appeal to ridicule
"One of the things the next president must do is to remind people that if we are going to have a responsible period in America, that each of us must love our children with all our heart and all our soul.",appeal to positive emotion
"My message to our troops is, ""Thank you for what you're doing. We're standing with you strong. We'll give you all the equipment you need. And we'll get you home as soon as the mission's done, because this is a vital mission.""",appeal to positive emotion
these extraordinarily difficult missions,appeal to ridicule
That's totally absurd.,appeal to ridicule
He called them coerced and the bribed.,appeal to ridicule
"The biggest tax increase in history. The biggest crime increase in history, the biggest drug increase in history in Arkansas.",appeal to fear
You're spending millions and millions of dollars in negative ads frightening senior citizens.,appeal to fear
"So I rolled the dice, I put my career on the line because I really believe the future of America is on the line.",appeal to fear
"Republicans talk about it, but we're the first the first administration in anybody's lifetime looking at this program to bring that deficit down four years in a row.",appeal to ridicule
the tremendous talents that our people have,appeal to positive emotion
"But you're absolutely correct, it is a threat, it's a huge threat.",appeal to fear
We were safer before President Bush came to office. Now they have the bombs and we're less safe.,appeal to fear
"And we have to be sure that Muslims come in and report when they see something going on. When they see hatred going on, they have to report it.As",appeal to fear
"many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people. Horribly wounded. They’ll never be the same.",appeal to fear
Look at that horrible—these are radical Islamic terrorists.And,appeal to fear
radical Islamic terrorists.And,appeal to fear
“radical Islamic terrorism.”,appeal to fear
dark things said about Muslims,appeal to fear
the kind of demagogic rhetoric,appeal to ridicule
We need American Muslims to be part of our eyes and ears on our front lines.,appeal to fear
violent jihadist terrorists.We,appeal to fear
extreme vetting,appeal to fear
this catastrophic war,appeal to fear
"If wind, water or fire destroyed them, we built them again.",appeal to worse problems
"The living Americans today have fought harder, paid a higher price for freedom, and done more to advance the dignity of man than any people who ever lived on this earth.",appeal to ridicule
"But what is absolutely true is that, once we get through this economic crisis and some of the specific proposals to get us out of this slump, that we're not going to be able to go back to our profligate ways.",appeal to fear
That's not the way we cut -- we'll cut out all the pork.,appeal to ridicule
"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",appeal to anger
"I never, ever conceived of such a thing. I never said any such thing.",appeal to ridicule
who threatens the peace? Who threatens freedom in the world?,appeal to fear
we found that six hundred million people went behind the Iron Curtain,appeal to fear
"When you are proud and confident of your strength, you do not get down to the level of Mr. Khrushchev and his colleagues.",appeal to ridicule
the greatest failure,appeal to worse problems
"It's going to be a big, big opportunity for a lot of people.",appeal to positive emotion
Some schools aren't safe. Some schools aren't even safe. Your choice is nothing.,appeal to fear
"And you know this liberal charge, that's what their party always drags out when they get in a tight race. It's sort of their golden oldie, you know.",appeal to ridicule
"I see people in my state, middle class people -- their taxes have gone up in Washington and their services have gone down while the wealthy have gotten tax cuts.",appeal to anger
We were threatened by a veto if we passed a dollar and a quarter,appeal to fear
"The United States must be a nation strong; the United States must be a nation secure. We must have a society that's just and fair. And we must extend the benefits of our own commitment to peace, to create a peaceful world.",appeal to positive emotion
"It's a lonely job, but with the involvement of the American people in the process, with an open Government, the job is a very gratifying one.",appeal to positive emotion
"I would like to have a crusade today, and I would like to lead that crusade with your help. And it would be one to take Government off the backs of the great people of this country, and turn you loose again to do those things that I know you can do so well, because you did them and made this country great.",appeal to positive emotion
I believe it was a failure of presidential leadership not to reauthorize the assault weapons ban.,appeal to worse problems
"I was hunting in Iowa last year with a sheriff from one of the counties there, and he pointed to a house in back of us, and said, ""See the house over? We just did a drug bust a week earlier, and the guy we arrested had an AK-47 lying on the bed right beside him. """,appeal to fear
the old-boy network and the cronyism,appeal to ridicule
this cockamamie idea,appeal to ridicule
"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.",appeal to worse problems
"And the -- the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because it's a gateway.",appeal to worse problems
out-of-control spending and corruption,appeal to fear
And we have former members of Congress now residing in federal prison because of the evils of this earmarking and pork-barrel spending.,appeal to worse problems
"And when you look at your tax policies that are directed primarily at those who are doing well, and you are neglecting people who are really struggling right now, I think that is a continuation of the last eight years, and we can't afford another four.",appeal to fear
"look at them, my friends. Look at them. You'll be appalled.",appeal to fear
wasteful and earmark spending,appeal to ridicule
unnecessary and wasteful spending,appeal to worse problems
orgy of spending and enormous deficits,appeal to fear
President Clinton stopped them dead in their tracks.,appeal to fear
"The only thing, Jim, they have to offer is fear.",appeal to fear
overly litigated economy,appeal to worse problems
And to call a businessman or woman who sits down and has a chance to express his or her interest in how to make these laws work and call them a polluter is just outrageous.,appeal to ridicule
They want them to be able to drink clean water and breathe clean air. They don't want them to live next to toxic waste sites.,appeal to fear
That is a reign of terror. It's happening.,appeal to fear
"He twisted arms and got six Democrats to vote the other way, but we lost by one vote.",appeal to anger
"pigs, slobs and dogs",appeal to ridicule
the most agonizing decisions,appeal to fear
"But if there's one thing we also understand it is that you cannot make concessions to terrorists, ever, ever.",appeal to fear
"one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country",appeal to fear
"So, there can be no concessions under any circumstances, because if we do it's an open invitation to others to do the same.",appeal to fear
It was ignored in that case and it was a very very serious mistake in judgment.,appeal to worse problems
"Absolutely. I mean, she calls our people deplorable, a large group, and irredeemable.",appeal to anger
the greatest disaster trade deal,appeal to ridicule
It is a disaster.,appeal to fear
The education is a disaster. Jobs are essentially nonexistent.I,appeal to worse problems
"It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans.And what he has said about African-Americans and Latinos, about Muslims, about POWs, about immigrants, about people with disabilities, he’s never apologized for.",appeal to anger
the hateful and divisive campaign,appeal to anger
the inciting of violence,appeal to fear
the very brutal kinds of comments,appeal to ridicule
It is—our country has the slowest growth and jobs are a disaster.,appeal to fear
ridiculous,appeal to ridicule
shameful,appeal to ridicule
I would not leave this country go undefended.,appeal to fear
boondoggle,appeal to ridicule
"We've lost in our foreign policy, the character of the American people.",appeal to worse problems
it was disastrous,appeal to worse problems
"The future of things that matter to you -- in terms of civil rights, what kind of Justice Department you'll have, whether we'll enforce the law. Will we have equal opportunity? Will women's rights be protected? Will we have equal pay for women, which is going backwards? Will a woman's right to choose be protected?",appeal to fear
"the very important, very strong program of enforcement",appeal to fear
"a very, very bad message",appeal to worse problems
Keep my promises to the American people.,appeal to positive emotion
"It looks like a bombed-out city - great, gaunt skeletons of buildings. Windows smashed out, painted on one of them ""Unkept promises;"" on another, ""Despair.""",appeal to fear
It's a bully pulpit.,appeal to ridicule
"But as governor, when I was at that end of the line and receiving some of these grants for Government programs, I saw that so many of them were dead-end.",appeal to worse problems
a very great insensitivity,appeal to ridicule
the world's greatest democratic free-enterprise system,appeal to positive emotion
Drop dead. Drop dead.,appeal to ridicule
It is extremely risky.,appeal to fear
"Before I answer that, Jim, let me just say it is disgraceful, the campaign being waged to scare the American senior citizens, in this state and my home state of, well, New York and California, about Medicare.",appeal to fear
"A commission is fine, but a commission would not do any good if we adopted this risky $550-billion tax scheme. The word ""scary"" has been used.",appeal to fear
much harsher language,appeal to anger
We have gone from the biggest deficits eight years ago to the biggest surpluses in history today.,appeal to worse problems
There's too much bitterness in Washington. There's too much wrangling.,appeal to anger
"But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits.",appeal to fear
"Now, finally, if you can't pay the bills you're dead in the water.",appeal to fear
"In 1974, we had the worst recession, the deepest and most penetrating recession since the Second World War.",appeal to worse problems
dangerous,appeal to fear
accused,appeal to ridicule
"Governor Reagan's proposal, the Reagan-Kemp-Roth proposal, is one of the most highly inflationary ideas that ever has been presented to the American public.",appeal to fear
this ridiculous proposal,appeal to ridicule
a heartless kind of approach,appeal to ridicule
"And that's why the plan that I've put forward for manufacturing and education, and reducing our deficit in a sensible way, using the savings from ending wars, to rebuild America and putting people back to work.",appeal to positive emotion
This issue is an issue that divides Americans deeply.,appeal to worse problems
another one of her disasters,appeal to ridicule
a total mess,appeal to ridicule
choking,appeal to fear
That's why we're losing—we're losing—we lose on everything.,appeal to fear
"We've seen, in this world, a development of a tremendous threat to us.",appeal to fear
I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.,appeal to fear
I'm talking about a national mood.,appeal to fear
foisted upon it in an election year or any other time,appeal to worse problems
a phony interest rate,appeal to ridicule
And what that’s going to do is a disaster for the country.,appeal to fear
a national catastrophe,appeal to fear
And it is sort of amusing to hear somebody who hasn’t paid federal income taxes in maybe 20 years talking about what he’s going to do.But,appeal to ridicule
"And I think it’s been unfortunate, but it’s happened, that since the Great Recession, the gains have all gone to the top.",appeal to worse problems
Because she has been a disaster as a senator. A disaster.,appeal to ridicule
"We are a government by the people, and when we move, it should be for very severe and extreme reasons that serve our national interests and end up with a stronger country behind us. It is only in that way that we can persevere.",appeal to fear
"I will never send troops anywhere on a mission of that kind without telling them that if somebody shoots at them, they can darn well shoot back.",appeal to anger
"We are going to, as I say, we're busy trying to find the centers where these operations stem from, and retaliation will be taken.",appeal to fear
And the reason they blame Russia because they think they’re trying to tarnish me with Russia.,appeal to ridicule
It is such an assault on the basic promise that America makes that the law will treat individuals as individuals regardless of their status.,appeal to fear
"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",appeal to anger
It is unAmerican,appeal to ridicule
"I had a friend a while ago who works in the government, works at the White House, African-American, stopped, surrounded by police for no other cause that anyone can determine than the color of his skin. That can't be in America anymore.",appeal to fear
a careless way in a belligerent attitude which has exemplified his attitudes in the past,appeal to anger
mischievous men,appeal to ridicule
This country should not be torn asunder over this debate,appeal to fear
"But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro-choice and pro-life position -- we have a President who vetoed a congressional ban on the ugly and gruesome practice of snatching life away from a child just moments before he or she enters the world. That is unacceptable.",appeal to worse problems
the ugly and gruesome practice,appeal to ridicule
We will never allow a woman's right to choose to be taken away.,appeal to fear
gruesome practice,appeal to fear
I'm proud of the fact that America is stronger and more prosperous and more secure than we were four years ago.,appeal to positive emotion
"Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it.",appeal to positive emotion
"You're not going to have the opportunities; there are going to be more deficits, more drugs, more crime, and less confidence in the American people.",appeal to fear
"I believe America's best days are ahead of us because I believe that the future belongs to freedom, not to fear.  That's the country that I'm going to fight for.",appeal to fear
embarrassment,appeal to ridicule
a bluffing statement,appeal to ridicule
frivolous,appeal to ridicule
You are robbing the American people of their savings.,appeal to fear
