Sentence,Label
"And so I'm very proud of the way that came about and I think it's a very, very good beginning.",appeal to positive emotion
these deadly tenements,appeal to fear
This is not mud slinging. This is fact slinging -- a bill earlier this year.,appeal to ridicule
But I support the death penalty in the most heinous cases.,appeal to worse problems
"And when I'm president, we're going to shut that loophole in a nanosecond and we're going to use that money to lower corporate tax rates in America for all corporations, 5 percent.",appeal to fear
I violently disagree with your assessment.,appeal to anger
"With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.",appeal to worse problems
That is a very serious indictment of this administration. It's probably the worst one of all.,appeal to worse problems
"a great, unbelievable Constitution",appeal to positive emotion
"tremendous courage, vision, wisdom, and leadership",appeal to positive emotion
"To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. It was not only precipitous, it was a sign, not of strength, but of weakness.",appeal to ridicule
The American people had lost faith and trust and confidence in the presidency itself.,appeal to fear
"The American people are healed, are working together.",appeal to positive emotion
"Our tax structure is a disgrace, it needs to be reformed.",appeal to anger
a horrible mess,appeal to ridicule
"I believe that if we are inspired, if we can achieve a degree of unity, if we can set our goals high enough and work toward recognized goals with industry and labor and agriculture along with government at all levels, then we can achieve great things.",appeal to positive emotion
It will be a huge down payment for a pretty darn good system.,appeal to ridicule
"And my case to the American people is, if you're happy with inactivity, stay with the horse.",appeal to fear
"down.We are in a big, fat, ugly bubble.",appeal to fear
ripped off,appeal to ridicule
"Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do.We",appeal to anger
this isn't just a Southern problem; it's a Northern problem and a Western problem; it's a problem for all of us.,appeal to worse problems
"Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years .",appeal to worse problems
Drugs are pouring in through the border .,appeal to fear
It's just pouring and destroying their youth .  It's poisoning the blood of their youth and plenty of other people .,appeal to fear
"some bad, bad people",appeal to ridicule
"The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody .  It's a disaster .",appeal to worse problems
We've never had anything like this happen in any of our elections before .,appeal to worse problems
"How can they continue to watch Israeli children killed by suicide bombers, killed by terrorists?",appeal to fear
"And it's important for America to confront the situation in Iran, because Iran is an enormous threat to Israel and to the Israeli people.",appeal to fear
"I think if you raise taxes during a recession, you head to depression.",appeal to fear
We've got battling green eye shades.,appeal to ridicule
It will come from the pockets of the people,appeal to fear
It will come from the pockets of the people who are living in those very areas.,appeal to fear
"And if Iraq were to fail, it'd be a haven for terrorists, and there would be money and the world would be much more dangerous.",appeal to fear
terrorist safe havens,appeal to fear
"These terrorists are serious, they're deadly, and they know nothing except trying to kill.",appeal to fear
"But yes, I'm worried. I'm worried. I'm worried about our country.",appeal to fear
"Now, we're now kidding anybody, Mr. President. These are sophisticated people watching tonight. Millions and millions of Americans.",appeal to ridicule
"But we turned it over to a maniacal fanatic who has slaughtered thousands and thousands of people, calling it executions.",appeal to fear
"And I think that we're better off, for example with the Philippines, of trying to retain our friendship and help them right the wrongs we see, rather than throwing them to the wolves and then facing a Communist power in the Pacific.",appeal to fear
the bloodiest century in mankind's history,appeal to fear
"We have defeated in this system of ours fascism, Nazism, communism, socialism is defunct or debunked around the world, the evil of apartheid has ended.",appeal to worse problems
Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,appeal to fear
this terrible century of war and recession and inflations,appeal to worse problems
"We need somebody who understands the potential of the American people, who are not just doing well for ourselves, we need to do well for the rest of the world, because they're looking at us.",appeal to fear
a serious risk,appeal to fear
Obamacare is a disaster. You know it. We all know it.,appeal to worse problems
It’s catastrophic,appeal to fear
Obamacare is a total disaster.,appeal to worse problems
"It is a disastrous plan, and it has to be repealed and replaced.",appeal to fear
"The D.C. school system is in terrible shape, and it has been for a very long time.",appeal to worse problems
a disgrace to this country,appeal to ridicule
"But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children.",appeal to fear
"Now, my fellow Americans, that's an invitation to disaster.",appeal to fear
The fact is that the president is driving the largest deficits in American history.,appeal to worse problems
"And this is the first president in 72 years to preside over an economy in America that has lost jobs, 1. 6 million jobs.  Eleven other presidents -- six Democrats and five Republicans -- had wars, had recessions, had great difficulties; none of them lost jobs the way this president has.",appeal to worse problems
"He just doesn't understand how the borders work, evidently, to say that. That is an outrageous claim.",appeal to ridicule
an aggressive program,appeal to fear
trickle-down economics,appeal to worse problems
It is a bad economy. It's a tough economy.,appeal to worse problems
That is absolutely outrageous.,appeal to anger
That's just totally ridiculous.,appeal to ridicule
"We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again.",appeal to fear
That a lot of your good friends like Bill Bennett and others of us who had admired your firmness of purpose over the years have felt that you're not quite the crusader for that cause that you once were.,appeal to worse problems
very distasteful,appeal to ridicule
"Will it be a nightmare world threatened with the proliferation of atomic bombs, not just in five major countries but dozens of smaller countries that have been permitted to develop atomic weapons because of a failure of our top leadership to stop proliferation? Will we have a world of hunger and - and hatred, and will we be living in an armed camp stripped of our friendship and allies hiding behind a tight defense that's been drawn in around us because we are fearful of the outside world?",appeal to fear
"We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way.",appeal to fear
"I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway.",appeal to worse problems
"You know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here and say you guys have got to do something about these horrendous deficits because it's causing tremendous problems for the rest of the world, and we were lectured to all the time.",appeal to ridicule
a brutal practice,appeal to fear
an absolute disgrace,appeal to ridicule
a disgrace,appeal to ridicule
"I think it will depend in great measure upon what we do here in the United States, on the kind of society that we build, on the kind of strength that we maintain",appeal to fear
they are important and dangerous now because they are mounting a major effort within their own country,appeal to fear
"The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom",appeal to fear
I am not satisfied as an American with the progress that we're making,appeal to worse problems
"This is a great country, but I think it could be a greater country",appeal to worse problems
"this is a powerful country, but I think it could be a more powerful country",appeal to worse problems
I think that's the only way that the United States is going to maintain its freedom,appeal to fear
I want people in Latin America and Africa and Asia to start to look to America,appeal to worse problems
deadly competition,appeal to fear
And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately.,appeal to ridicule
But don't just sit here slow dancing for 4 years doing nothing.,appeal to fear
more crude available,appeal to worse problems
But I'll never fail to protect the United States of America.,appeal to fear
"let me sharply disagree with the President on sharing the most advanced, the most dangerous, the most important technology in America with the Soviet Union.",appeal to fear
"And the thought that we would share this with the Soviet Union is, in my opinion, a total non-STARTer.",appeal to ridicule
"The most dangerous aspect of this proposal is, for the first time, we would delegate to computers the decision as to whether to start a war. That's dead wrong.",appeal to fear
this ever-rising arms race madness,appeal to fear
"And we will be better off, far better off, if we stop right now, because we have more to lose in space then they do.",appeal to fear
"This is a group of killers who will not only kill here, but kill children in Russia, that'll attack unmercifully in Iraq, hoping to shake our will.",appeal to fear
"This president has made, I regret to say, a colossal error of judgment.",appeal to ridicule
Somebody called that stubborn.,appeal to ridicule
And now our kids are being killed with ammos right out of that dump,appeal to fear
"The administration, seems like we're having a great love fest tonight, but the administration made the right decision on training Nigerian troops for situations just such as this in Rwanda, and so I thought they made the right decision not to send U.S. troops into Rwanda.",appeal to positive emotion
"But if you have a situation like that right in our backyard with chaos about to break out and flotillas forming to come across the water, and all kinds of violence there, right in one of our neighboring countries there, then I think that we did the right thing there.",appeal to fear
"I think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way, and there's some pretty egregious examples recently.",appeal to worse problems
I thought the President did the right thing with Mexico and was very strongly supportive of the administration in Mexico.,appeal to positive emotion
"Are we going to step up to the plate as a nation the way we did after World War II, the way that generation of heroes said okay, the United States is going to be the leader. And the world benefitted tremendously from the courage that they showed in those post-war years.",appeal to fear
the ugly American,appeal to ridicule
"We know freedom is a powerful, powerful, powerful force, much bigger than the United States of America, as we saw recently in the Balkans.",appeal to ridicule
a disturbing pattern in the attitude of Governor Reagan,appeal to fear
"an irresponsible statement, or, maybe, an ill-advised statement",appeal to ridicule
"But when a man who hopes to be President says, take this treaty, discard it, do not vote, do not debate, do not explore the issues, do not finally capitalize on this long negotiation - that is a very dangerous and disturbing thing.",appeal to fear
some very misleading and disturbing statements,appeal to fear
It would be very disturbing to American people.,appeal to fear
"And it would also be very disturbing to our allies, all of whom support this nuclear arms treaty.",appeal to fear
extremely dangerous and belligerent,appeal to fear
You know the Japanese are breathing down our necks on this.,appeal to fear
"we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night",appeal to worse problems
the worst slums,appeal to worse problems
he's been wrong - dead wrong,appeal to ridicule
a ridiculous thing,appeal to ridicule
Franklin Roosevelt said in 1936 that that generation of Americans had a rendezvous with destiny.,appeal to positive emotion
I believe in 1960 and sixty-one and two and three we have a rendezvous with destiny.,appeal to positive emotion
slum clearance,appeal to worse problems
a splendid example,appeal to ridicule
"And I have said again and again and again let's get off mud wrestling, let's get off personalities and let's talk about jobs, health care, crime, the things that concern the American people.",appeal to worse problems
"You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.",appeal to anger
"My argument with Governor Clinton -- you can call it mud wrestling, but I think it's fair to put it in focus is -- I am deeply troubled by someone who demonstrates and organizes demonstration in a foreign land when his country's at war.",appeal to fear
But the big argument I have with the governor on this is this taking different positions on different issues -- trying to be one thing to one person here that's opposing the NAFTA agreement and then for it -- what we call waffling. And I do think that you can't turn the White House into the Waffle House.,appeal to ridicule
I've been disturbed by the tone and the tenor of this campaign.,appeal to fear
"Our country is so, so—it's just so imperative that we have the right justices.",appeal to fear
"some very, very inappropriate statements",appeal to ridicule
But thank goodness we've always had enough people who have been willing in every generation to push past the fear of a broken heart and become deeply involved in forming a more perfect union.,appeal to positive emotion
And we can renew and rekindle the American spirit and make our future what our founders dreamed it could be. We can.,appeal to positive emotion
"A lot of people are sick and tired of the bitterness in Washington, D.C. and therefore they don't want any part of politics.",appeal to worse problems
think it's a cynicism in Washington and it doesn't have to be that way.,appeal to anger
"Russia is still very unstable; they could go back to square one, and worse.",appeal to fear
It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,appeal to anger
"We've had enough of that, ladies and gentlemen.",appeal to ridicule
But we've got to keep going forward without killing off the engine and throwing people out of work.,appeal to fear
the single most important public health crisis,appeal to fear
single most important public health emergency we've had in our lifetimes,appeal to fear
I believe that many of the things they have done are evil in any concept of morality that we have.,appeal to worse problems
"The Soviet Union has been engaged in the biggest military buildup in the history of man at the same time that we tried the policy of unilateral disarmament, of weakness, if you will.",appeal to fear
a tough and a ruthless adversary,appeal to fear
And he has a record of weakness with regard to our national defense that is second to none.,appeal to fear
The plane wasn't flying the way it was supposed to be; it was a waste of money.,appeal to worse problems
outrageous,appeal to anger
"I believe America's best days are ahead of us. I'm an optimist, but we have to make the right choices, to be fiscally responsible and to create the new jobs of the future.",appeal to positive emotion
The 9/11 Commission put out a report that said America is safer but not yet safe.,appeal to fear
The great threat to our country is that these haters end up with weapons of mass destruction.,appeal to fear
brutal,appeal to anger
"It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.",appeal to worse problems
"Once again, the president is misleading America.",appeal to anger
So the president's wrong.,appeal to ridicule
"And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left.",appeal to fear
It was a disaster.,appeal to worse problems
the stupidity of our foreign policy,appeal to ridicule
"Why can’t they do it quietly? Why can’t they do the attack, make it a sneak attack, and after the attack is made, inform the American public that we’ve knocked out the leaders, we’ve had a tremendous success?",appeal to fear
How stupid is our country?,appeal to ridicule
"I'm for getting rid of the death tax, completely getting rid of the death tax.",appeal to ridicule
"And the vast majority of all family businesses would be completely exempt, and all of the others would have sharply reduced.",appeal to worse problems
Medi-scare,appeal to fear
squabbling and finger pointing,appeal to ridicule
"Because in this critical year - period of the sixties we've got to move forward, all Americans must move forward together, and we have to get the greatest cooperation possible between labor and management.",appeal to fear
the same kind of woolly thinking,appeal to ridicule
One out of almost two children in Cleveland are now living in poverty.,appeal to fear
People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital.,appeal to anger
so tremendously impressed,appeal to positive emotion
the finger of blame looking for scapegoats,appeal to ridicule
The fact is the Medicare problems have not been addressed. We have had eight years of problems with prescription drugs not being addressed. Social Security problem  's not been addressed. The educational problem has not been addressed. We  've had eight years of talk but no action.,appeal to worse problems
"He cut if off, sort of arbitrarily.",appeal to ridicule
Osama bin Laden uses the invasion of Iraq in order to go out to people and say that America has declared war on Islam.,appeal to fear
The only thing consistent about my opponent's position is that he's been inconsistent.,appeal to ridicule
"I disagree, strongly disagree with that.",appeal to anger
"Now, Prime Minister Allawi came here, and he said the terrorists are pouring over the border. That's Allawi's assessment.",appeal to fear
"The national intelligence assessment that was given to the president in July said, best-case scenario, more of the same of what we see today; worst-case scenario, civil war.",appeal to fear
"And secondly, to think that another round of resolutions would have caused Saddam Hussein to disarm, disclose, is ludicrous, in my judgment.",appeal to ridicule
I would rather see us reduce the consumption of imported oil than have to send American boys to fight in the Persian Gulf.,appeal to fear
a heroic and brave and very outstanding leader of the military,appeal to positive emotion
"Our health-care system is the envy of the world because we believe in making sure that the decisions are made by doctors and patients, not by officials in the nation's capital.",appeal to ridicule
"Americans are hurting right now, and they're angry. They're hurting, and they're angry.",appeal to anger
"They're innocent victims of greed and excess on Wall Street and as well as Washington, D.C. And they're angry, and they have every reason to be angry.",appeal to anger
the worst financial crisis,appeal to worse problems
"We need to cut the business tax rate in America. We need to encourage business.  Now, of all times in America, we need to cut people's taxes. We need to encourage business, create jobs, not spread the wealth around.",appeal to fear
"Now, that's a certain passion that in my view it's misguided passion.",appeal to ridicule
"I don't think there's any question about that, and I resent it. I resent it.",appeal to anger
We need to battle them overseas so we don't have to battle them here at home.,appeal to fear
He is responsible for most of the major car bombings that have killed or maimed thousands of people.,appeal to fear
He's the one you will see on the evening news beheading hostages.,appeal to fear
"Civility, responsibility, racial reconciliation, healing the wounds of our country has to be one of the greatest, most singularly important goals for this country here on the edge of the 21st Century.",appeal to positive emotion
The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,appeal to fear
this is the man who masterminded the greatest mass murder and terrorist attack in American history.,appeal to fear
"And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years.",appeal to fear
the deadly technologies,appeal to fear
this rosy scenario,appeal to positive emotion
They're more dangerous today than they were four years ago.,appeal to fear
"This vice president has been an advocate for over a decade for lifting sanctions against Iran, the largest state sponsor of terrorism on the planet.",appeal to fear
dead wrong,appeal to ridicule
President Bush has taken -- he's the only president in history to do this. He's also the only president in 72 years to lose jobs -- 1. 6 million jobs lost. He's the only president to have incomes of families go down for the last three years; the only president to see exports go down; the only president to see the lowest level of business investment in our country as it is today.,appeal to worse problems
This president has never once vetoed one bill; the first president in a hundred years not to do that.,appeal to worse problems
What I will do as president is make sure it's more attractive to come to America again.,appeal to positive emotion
"I want to make America the most attractive place in the world for entrepreneurs, for small business, for big business, to invest and grow in America.",appeal to positive emotion
"First of all, remember that in this campaign season, since Senator Dole's been a candidate, he has bragged about the fact that he voted against Medicare in the beginning, in 1965, one of only 12 members.",appeal to ridicule
But it was simply wrong to finance their last scheme to cut Medicare $270 billion to run the risk of it withering on the vine.,appeal to fear
"When the recession came they were like a deer caught in the headlights -- paralyzed into inaction, blinded to the suffering and pain of bankruptcies and people who were unemployed.",appeal to fear
America is the mockery of the world.,appeal to ridicule
"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",appeal to worse problems
"We provide the leadership and we're going to have to continue to provide the leadership, but let's do it on our terms when our interests are involved and not when somebody blows the whistle at the United Nations.",appeal to fear
"I believe the United States is at peace tonight in part because of the disciplined, careful, effective deployment of our military resources.",appeal to fear
Most people want to see their own doctor. They're going to see their own doctor when Bob Dole is president. We won't threaten anybody.,appeal to fear
"this massive, massive takeover by the Federal government",appeal to fear
withering on the vine,appeal to worse problems
Why I disagree with the MX is that it's a sitting duck.,appeal to ridicule
this arms madness,appeal to fear
"Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was. Well, I want to tell you, President Bush, the ""we"" is the people of the US of America.",appeal to anger
the most deadly issue of our times,appeal to fear
"It's taken months and months and months to get Mr. Bush and the administration to support that legislation, and they're still resisting.",appeal to anger
"These programs have been cut and slashed and butchered, and they've hurt kids all over this country.",appeal to fear
"82,000 Arizonians lost their health insurance under President Bush's watch.",appeal to fear
This president has turned his back on the wellness of America.,appeal to fear
"If every family in America signed up, like the senator suggested, if would cost us $5 trillion over 10 years.  It's an empty promise. It's called bait and switch.",appeal to fear
"But in the final analysis-in the final analysis, the person goes into that voting booth, they're going to say, â‰¥Who has the values I believe in? Who has the experience that we trust? Who has the integrity and stability to get the job done?â‰¤ My fellow Americans, I am that man and I ask for your support.",appeal to positive emotion
That's dangerous and it's provocative.,appeal to fear
We have dramatically increased control and enforcement at the border.,appeal to fear
"I think the greatest possibilities of our country, our dreams and our hopes, are out there just waiting for us to grab onto them.",appeal to positive emotion
"But I will promise you this with all the confidence in my heart and in the world, that I will do my best if I'm elected president, I'll work my heart out to get the big things right for the American people.",appeal to positive emotion
That is a very happy ending to a terrible story. It's the end of a reign of terror.,appeal to positive emotion
It's the end of a reign of terror.,appeal to fear
reign of terror,appeal to fear
I think this is an opportunity for the United States to test President Putin of Russia.,appeal to fear
That is morally and socially unacceptable in a modern day economy.,appeal to worse problems
We're treading water. We have families that are hurting. We have people who are unemployed. We have people with no property. We have an administration that is demolishing public housing in our inner cities and not providing anything else but more public housing.,appeal to fear
such a sketchy deal,appeal to fear
"That is a legitimate concern, this is a very important area.",appeal to fear
"And that will always be the case as long as the Communists are on the international scene, in the aggressive tac- uh - tendencies that they presently are following.",appeal to fear
an offensive for the minds and hearts and souls of men,appeal to fear
"It's ironic that there are now -- there is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever.",appeal to worse problems
horrible disease,appeal to fear
"we’ll have another 200,000 Americans dead by the time",appeal to fear
"dark winter, a dark winter",appeal to fear
horrible,appeal to ridicule
"People are losing their jobs, they’re committing suicide. There’s depression, alcohol, drugs at a level that nobody’s ever seen before. There’s abuse, tremendous abuse.",appeal to fear
"not that many of you are going to die, so don’t worry about it.",appeal to ridicule
They’re the red states.,appeal to ridicule
"They are the states in the Midwest, they are the states in the upper Midwest, that’s where the spike is occurring significantly, but they’re all Americans.",appeal to worse problems
"we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them.",appeal to fear
I get treated worse than the Tea Party got treated,appeal to worse problems
"one, single, solitary thing was out of line",appeal to ridicule
"You’re sitting at the kitchen table this morning deciding, well, we can’t get new tires, they’re bald, because we have to wait another month or so. Or are we going to be able to pay the mortgage? Who’s going to tell her, she can’t go back to community college?",appeal to fear
thug,appeal to ridicule
very liberal people that cried in my office–they cried in the Oval Office.,appeal to ridicule
pure drug offense,appeal to fear
That’s why so many people in my state were dying and getting cancer,appeal to fear
Will you remember that Texas? Will you remember that Pennsylvania? Oklahoma? Ohio?,appeal to fear
He will kill it.,appeal to fear
The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,appeal to anger
American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know how strongly you feel.,appeal to fear
How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID?,appeal to fear
"A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker",appeal to fear
He will destroy this country,appeal to fear
worst,appeal to worse problems
art of the deal,appeal to positive emotion
art of the steal,appeal to ridicule
"Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, spewing–just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.",appeal to fear
dog whistle,appeal to fear
racist hatred,appeal to anger
racist division,appeal to anger
very sick ideas,appeal to ridicule
horrible place,appeal to ridicule
racist place,appeal to ridicule
hatred,appeal to anger
Absolutely ridiculous,appeal to ridicule
Violent crime,appeal to fear
dangerous radical group.,appeal to fear
whole big con job,appeal to ridicule
"weaker, sicker, poorer, more divided and more violent",appeal to worse problems
dishonorably discharged,appeal to ridicule
And I’m proud of him. I’m proud of my son,appeal to positive emotion
crystal clean,appeal to positive emotion
beautiful clean,appeal to positive emotion
much safer,appeal to fear
dumbest,appeal to ridicule
most ridiculous,appeal to ridicule
"They came after me spying on my campaign. They started from the day I won, and even before I won.",appeal to fear
There’s fraud. They found ’em in creeks.,appeal to fear
This is going to be a fraud like you’ve never seen.,appeal to fear
shame,appeal to ridicule
It’s a rigged election.,appeal to fear
This is not going to end well,appeal to fear
fraudulent election,appeal to anger
xenophobic and hysterical,appeal to ridicule
"So I want to ask the American people, how calm were you when you were panicked about where you’re going to get your next roll of toilet paper? How calm were you when your kids were sent home from school and you didn’t know when they could go back?",appeal to fear
How calm were you when your children couldn’t see your parents because you were afraid they could kill them?,appeal to fear
We’re about freedom and respecting the freedom of the American people.,appeal to positive emotion
just unacceptable,appeal to anger
the second black woman,appeal to worse problems
complete disaster,appeal to worse problems
they’re coming for you.,appeal to fear
they’re coming for you,appeal to fear
catastrophe,appeal to fear
Communist,appeal to fear
isolationism,appeal to fear
made America less safe,appeal to fear
awful,appeal to ridicule
great American hero,appeal to positive emotion
insulting,appeal to ridicule
"And people around our country, of every race, of every age, of every gender – perfect strangers to each other – marched shoulder to shoulder, arm and arm, fighting for us to finally achieve that ideal of equal justice under law.",appeal to positive emotion
great insult,appeal to ridicule
